"STRING_id","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","Second.Trimester.Average","Term.Average","on_graph","cluster","boyan","is_local_max","updown","btw","cluster_max_btw","is_secreted"
"9606.ENSP00000231121","HAND1",9421,"heart and neural crest derivatives expressed 1",-1.09494339187565,5.05492511147723,-4.81481095482918,8.78477669119151e-06,6.01020031892639e-05,2.87401467709991,5.99589208887036,4.90094869699471,1,5,48,FALSE,"red",3.38946667860028,"",FALSE
"9606.ENSP00000231368","LNPEP",4012,"leucyl and cystinyl aminopeptidase",2.69310470275121,8.44302642532375,11.3031346417266,3.64812931801392e-17,4.19484552546525e-15,28.7152306812048,6.12863957139693,8.82174427414814,1,3,16,FALSE,"green",1510.03537033201,"",FALSE
"9606.ENSP00000232424","HES1",3280,"hes family bHLH transcription factor 1",1.19788723692909,7.63149211573438,6.72104366404963,4.80169958733605e-09,7.37868545803263e-08,10.2222686760361,6.60205777149844,7.79994500842753,1,5,128,FALSE,"green",4.8004311034808,"",FALSE
"9606.ENSP00000233596","REEP6",92840,"receptor accessory protein 6",-1.04306337613634,5.27676295409397,-10.2133441295083,2.76514625249307e-15,1.88176667215579e-13,24.42873949255,6.17314554296114,5.1300821668248,1,1,6,FALSE,"red",72.7790347806754,"",FALSE
"9606.ENSP00000234111","ODC1",4953,"ornithine decarboxylase 1",-1.01662218798861,6.33133514904242,-5.64701986249275,3.61960708429659e-07,3.56676766645845e-06,5.97966587949187,7.20499484184512,6.18837265385652,1,2,26,FALSE,"red",148.798587074156,"",FALSE
"9606.ENSP00000234313","PLEK",5341,"pleckstrin",-1.0754660469461,6.77240074871854,-6.85953416448979,2.72117686875438e-09,4.43935243960292e-08,10.7815422039785,7.69662938281284,6.62116333586674,1,1,54,FALSE,"red",782.654246946672,"",FALSE
"9606.ENSP00000237612","ABCG2",9429,"ATP binding cassette subfamily G member 2 (Junior blood group)",1.17033737617001,6.54414079385229,5.26466939648338,1.60245735325026e-06,1.33388774092569e-05,4.52745267829371,5.53838211120619,6.7087194873762,1,3,14,FALSE,"green",167.399003351534,"",FALSE
"9606.ENSP00000237696","RARRES1",5918,"retinoic acid receptor responder 1",-1.20619021786233,4.99077681529984,-9.29813649978236,1.14174527344702e-13,5.39272491336605e-12,20.7435366177397,6.02734653377528,4.82115631591295,1,1,5,FALSE,"red",0,"",FALSE
"9606.ENSP00000238018","GDA",9615,"guanine deaminase",1.0874490153681,5.99606320689074,4.33585674165428,5.0048521919705e-05,0.000275390202734455,1.19408342247484,5.06153670930878,6.14898572467688,1,1,7,FALSE,"green",1464.47860806676,"",FALSE
"9606.ENSP00000238044","ECRG4",84417,"ECRG4 augurin precursor",-2.01436728060474,6.03072629471453,-13.2976668159845,1.88962280277288e-20,5.08156145010198e-18,36.1987782598191,7.76182317648422,5.74745589587948,1,7,49,TRUE,"red",47.8531568628496,"",FALSE
"9606.ENSP00000238682","TGFB3",7043,"transforming growth factor beta 3",-1.44655204029078,6.92541225589594,-7.60780088850459,1.2383948208078e-10,2.80540174556093e-09,13.8295769167698,8.16854291552083,6.72199087523005,1,1,128,FALSE,"red",5492.2936506233,"",FALSE
"9606.ENSP00000240100","DUSP4",1846,"dual specificity phosphatase 4",2.04997214929601,7.01020295655145,10.2341161543558,2.54333503894399e-15,1.74506276149437e-13,24.5115666086044,5.24850814075019,7.2984802900462,1,2,29,FALSE,"green",952.189773342191,"",FALSE
"9606.ENSP00000242057","AHR",196,"aryl hydrocarbon receptor",1.35351793325992,10.0480203813052,5.65270919608987,3.53947776233526e-07,3.49400312204948e-06,6.00155579470405,8.88484090740998,10.2383588406699,1,1,37,FALSE,"green",53.044569555885,"",FALSE
"9606.ENSP00000242208","INHBA",3624,"inhibin subunit beta A",3.57764570722007,6.85677499380566,11.64677757156,9.57321523045374e-18,1.29767656534435e-15,30.0396850165582,3.78223571416342,7.35988142138349,1,5,136,TRUE,"green",1619.34432465232,"",TRUE
"9606.ENSP00000242249","RAMP3",10268,"receptor activity modifying protein 3",2.29389398397378,5.88218378902473,14.2471924495476,6.14367475849862e-22,2.84537470134576e-19,39.5807862402471,3.91086864654727,6.20476263052105,1,1,65,FALSE,"green",11.7088776777642,"",FALSE
"9606.ENSP00000242261","TWIST1",7291,"twist family bHLH transcription factor 1",1.06222756067345,7.89998756520845,6.90786462938495,2.23110259741405e-09,3.7423715902097e-08,10.9771719960069,6.98713575525471,8.04936331592815,1,5,134,FALSE,"green",18.1845933049545,"",FALSE
"9606.ENSP00000243347","TNFAIP6",7130,"TNF alpha induced protein 6",-1.23002039969468,4.35562572918902,-5.27947592815527,1.51373588488965e-06,1.27082167214326e-05,4.58294925137062,5.41267451017664,4.18265411048196,1,1,40,FALSE,"red",1833.23898565766,"",FALSE
"9606.ENSP00000243662","RAB38",23682,"RAB38, member RAS oncogene family",-1.2392507616336,6.70394434107856,-10.026090924206,5.88652731504707e-15,3.8041112373558e-13,23.6803054089085,7.76892546435743,6.52967470272383,1,3,20,FALSE,"red",2.74057214629196,"",FALSE
"9606.ENSP00000243786","INHA",3623,"inhibin subunit alpha",1.43659339266884,6.73103558550542,8.25173560663116,8.57135715843952e-12,2.66127072444436e-10,16.469203460563,5.49646313868064,6.93305653134948,1,5,104,FALSE,"green",242.982589400846,"",TRUE
"9606.ENSP00000244096","MAGEA10",4109,"MAGE family member A10",2.41084303998098,7.61617719198853,13.4491794135194,1.08540245101253e-20,3.17489737995298e-18,36.746423947961,5.54435895450487,7.95520199448586,1,1,0,FALSE,"green",15.3527141963958,"",FALSE
"9606.ENSP00000244709","TREM1",54210,"triggering receptor expressed on myeloid cells 1",1.12400202758464,5.63597141813414,4.84349556934708,7.89575826457201e-06,5.46702564556516e-05,2.97742135906641,4.67003217567858,5.79403420326323,1,1,20,FALSE,"green",67.0579128094709,"",FALSE
"9606.ENSP00000244728","COL21A1",81578,"collagen type XXI alpha 1 chain",-1.50407687020212,6.70330629941868,-9.95929379336997,7.71336514725081e-15,4.85301649434388e-13,23.4125722396795,7.99587235974863,6.49179548954651,1,5,0,FALSE,"red",46.7709681401114,"",FALSE
"9606.ENSP00000244745","SOX4",6659,"SRY-box transcription factor 4",-1.07923096441874,6.36100470343027,-10.8734666744688,1.98003459885531e-16,1.88947892423979e-14,27.0402189876194,7.28846881347762,6.20923784905888,1,2,94,FALSE,"red",458.886704934709,"",FALSE
"9606.ENSP00000245907","C3",718,"complement C3",-1.24230537013789,6.02772112086528,-4.85952266436099,7.43797237335561e-06,5.18884156405682e-05,3.03532575776096,7.09532729832753,5.85302192818964,1,1,80,FALSE,"red",638.869106394599,"",FALSE
"9606.ENSP00000247191","DLGAP5",9787,"DLG associated protein 5",-1.28695342082521,4.6628012676425,-10.1333267720582,3.81742294537778e-15,2.54591571073135e-13,24.1093041922695,5.76877686366416,4.48182344283895,1,2,14,FALSE,"red",400.493347547401,"",FALSE
"9606.ENSP00000248121","SYNGR3",9143,"synaptogyrin 3",2.58531796346983,6.06728186378613,12.9872651078998,5.93785973190082e-20,1.37502687930531e-17,35.0674151696328,3.84552423892924,6.43084220239907,1,3,10,FALSE,"green",9.82520181508761,"",FALSE
"9606.ENSP00000248572","GNGT1",2792,"G protein subunit gamma transducin 1",1.13623967075961,5.01382720494502,3.16692630688403,0.0023214862353036,0.00784477908415423,-2.44447734044922,4.03737123788597,5.17361090864559,1,1,25,FALSE,"green",1559.79218787674,"",FALSE
"9606.ENSP00000249075","LIF",3976,"LIF interleukin 6 family cytokine",-1.4200043185323,4.70758628568762,-7.76647686373978,6.4141868460669e-11,1.54542972954441e-09,14.4794802885401,5.92790249692632,4.50789817839402,1,1,105,FALSE,"red",107.767593213699,"",FALSE
"9606.ENSP00000252456","CNN1",1264,"calponin 1",1.00168401521671,6.03664427318195,4.47106410807283,3.08817104366192e-05,0.000180473451843586,1.65892811585349,5.17582207260509,6.1775060878218,1,5,6,FALSE,"green",38.1073391857677,"",FALSE
"9606.ENSP00000252486","APOE",348,"apolipoprotein E",-1.03001308937914,7.65739427001496,-6.85329220472862,2.79182702073245e-09,4.53846324616406e-08,10.756292700068,8.54256176870016,7.51254867932102,1,1,158,FALSE,"red",1347.18598522448,"",FALSE
"9606.ENSP00000252809","GDF15",9518,"growth differentiation factor 15",2.97829017093898,10.2249964022831,10.4881424775984,9.178088464962e-16,6.80116751005828e-14,25.5211601305636,7.66552828663238,10.6438184575714,1,5,67,FALSE,"green",968.669651306416,"",TRUE
"9606.ENSP00000253462","GINS2",51659,"GINS complex subunit 2",-1.13852763138679,5.66658163674682,-9.84923696671234,1.20507775720986e-14,7.02526623984616e-13,22.9706205761669,6.64500381996984,5.50647618858305,1,2,3,FALSE,"red",531.7260783643,"",FALSE
"9606.ENSP00000254301","LGALS3",3958,"galectin 3",-1.29897167158053,8.46350152012619,-6.01216612906265,8.49431934399776e-08,9.74042547609867e-07,7.39909742837025,9.5798053003907,8.28083362881018,1,5,83,FALSE,"red",351.214188592564,"",FALSE
"9606.ENSP00000254528","EMILIN2",84034,"elastin microfibril interfacer 2",-1.36095368931731,6.90096900376518,-7.93093271290125,3.24253206048106e-11,8.47378323579949e-10,15.1536275548144,8.07053858052224,6.70958489120493,1,1,2,FALSE,"red",0,"",FALSE
"9606.ENSP00000255409","CHI3L1",1116,"chitinase 3 like 1",-1.33753244438321,5.37344663373142,-6.81378683323137,3.28328541279156e-09,5.26874087463655e-08,10.5965783526006,6.52288857812324,5.18535613374003,1,1,72,FALSE,"red",107.581980189819,"",FALSE
"9606.ENSP00000256010","NTS",4922,"neurotensin",-3.39858283665585,4.24351585883831,-28.8034957524593,2.039331701322e-39,3.40017774561417e-35,78.5155938222753,7.16417298408943,3.76559014743358,1,1,25,FALSE,"red",1549.49141547854,"",FALSE
"9606.ENSP00000256104","FABP4",2167,"fatty acid binding protein 4",5.4878300897145,7.8491323598346,15.975349553055,1.61512982589039e-24,1.41731892563528e-21,45.4305730929379,3.1330283764862,8.6208584662007,1,1,41,FALSE,"green",72.5236064384632,"",FALSE
"9606.ENSP00000256412","ADAMDEC1",27299,"ADAM like decysin 1",1.61211091912482,4.3251742906499,13.5723370929716,6.93116337344429e-21,2.26594680245954e-18,37.1893509288762,2.93976646952702,4.55187738865183,1,1,7,FALSE,"green",793.054857370691,"",FALSE
"9606.ENSP00000256447","CD180",4064,"CD180 molecule",-1.60104629091895,4.83915997245024,-14.0222101691264,1.36916120586028e-21,5.85333968854064e-19,38.7902390567005,6.21505912870872,4.61401283778977,1,1,41,FALSE,"red",2860.46491527989,"",FALSE
"9606.ENSP00000256759","FST",10468,"follistatin",-1.00701089390158,6.50812209156342,-6.37129475958992,1.99766072269013e-08,2.66882990620292e-07,8.81999364611184,7.37352207851009,6.36651118460852,1,1,28,FALSE,"red",3445.32322154537,"",FALSE
"9606.ENSP00000258098","RAB11FIP5",26056,"RAB11 family interacting protein 5",1.17183915195387,7.61006313184975,7.49925605018027,1.9416687506587e-10,4.18261538497836e-09,13.385465086744,6.60301386063939,7.77485301259326,1,5,34,FALSE,"green",2.58998382705723,"",FALSE
"9606.ENSP00000258317","NPL",80896,"N-acetylneuraminate pyruvate lyase",-1.23449625558142,6.86084870087313,-11.7684002184814,5.98216779855457e-18,8.59833480218106e-16,30.5050804375216,7.92174392051341,6.68724766493199,1,1,4,FALSE,"red",2883.78976965889,"",FALSE
"9606.ENSP00000259803","GCM1",8521,"glial cells missing transcription factor 1",1.23920842796487,9.15475118872562,4.25208501859128,6.72615741840269e-05,0.000357150390563783,0.910071026442429,8.08980644594331,9.32901487390818,1,5,27,FALSE,"green",0,"",FALSE
